Random DBH	Transect DBH
34	14.5
11.1	4.1
39.5	5.6
43	9.2
20	2.9
8.9	8.4
15	3.1
34	40.5
32.1	6.6
15	6.4
24.2	3.3
37.2	9.5
22.3	16.6
35.5	10.5
29.9	8
27.5	4.2
17.8	3
16.9	2.5
35.3	6.7
6.5	34.2
16.6	5.8
18.5	8.4
35.3	8.4
89.6	5.6
35	6
65	3.6
14	3.5
17	2.8
8	4.5
36.6	3.9
25	5.4
35	2.3
19.9	27
39.5	14.5
25	27.7
20.5	20.4
16	20.8
14.5	15
29.7	12.7
35	18
25	15
6	24.9
14	2.5
15.5	5.6
15.3	23.6
38.8	12.2
8	24.7
13	9.8
25.1	13.4
7	52.4
27.2	5.7
10.5	14.9
8.3	15.5
10.5	64.3
6.9	4.6
7.5	12
77	24.5
56	14.4
46.6	14.1
51	17.6
10	19.5
12.4	
16.6	
8	
43	
35	
20	
24	
20	
25.1	
15.8	
5.4	
33.9	
12.2	
12.1	
20.1	
16.3	
21	
26.5	
35.2	
20.7	
21.6	
12.1	
30.1	
25.3	
24.7	
10.5	
8.3	
8.8	
25.1	
12	
13	
25.5	
52.8	
64	
30	
16	
24	
26.7	
79.6	
39.8	
19.7	
13.4	
35	
41.1	
70	
39	
15.9	
50	
18	
92	
40.7	
8.1	
12.4	
32.5	
5.5	
19.1	
6.1	
