Date,Prefecture,Positive,Tested,Discharged,Fatal
2020-03-18,Hokkaido,154,1587,69,7
2020-03-18,Aomori,0,75,0,0
2020-03-18,Iwate,0,24,0,0
2020-03-18,Miyagi,1,138,1,0
2020-03-18,Akita,2,109,1,0
2020-03-18,Yamagata,0,123,0,0
2020-03-18,Fukushima,2,127,0,0
2020-03-18,Ibaraki,2,454,0,0
2020-03-18,Tochigi,3,242,2,0
2020-03-18,Gunma,10,161,0,0
2020-03-18,Saitama,34,646,4,0
2020-03-18,Chiba,33,,9,0
2020-03-18,Tokyo,117,1743,23,2
2020-03-18,Kanagawa,59,,6,4
2020-03-18,Niigata,21,,1,0
2020-03-18,Toyama,0,54,0,0
2020-03-18,Ishikawa,7,165,1,0
2020-03-18,Fukui,1,92,0,0
2020-03-18,Yamanashi,2,325,0,0
2020-03-18,Nagano,4,295,0,0
2020-03-18,Gifu,3,270,1,0
2020-03-18,Shizuoka,3,,1,0
2020-03-18,Aichi,130,847,3,14
2020-03-18,Mie,8,277,1,0
2020-03-18,Shiga,4,140,0,0
2020-03-18,Kyoto,20,770,6,0
2020-03-18,Osaka,117,,22,0
2020-03-18,Hyogo,90,1020,0,3
2020-03-18,Nara,8,163,2,0
2020-03-18,Wakayama,15,1090,8,1
2020-03-18,Tottori,0,110,0,0
2020-03-18,Shimane,0,86,0,0
2020-03-18,Okayama,0,175,0,0
2020-03-18,Hiroshima,1,521,1,0
2020-03-18,Yamaguchi,3,157,0,0
2020-03-18,Tokushima,1,79,0,0
2020-03-18,Kagawa,1,122,0,0
2020-03-18,Ehime,3,181,1,0
2020-03-18,Kochi,12,267,6,0
2020-03-18,Fukuoka,4,610,1,0
2020-03-18,Saga,1,91,0,0
2020-03-18,Nagasaki,1,200,0,0
2020-03-18,Kumamoto,6,,0,0
2020-03-18,Oita,1,163,1,0
2020-03-18,Miyazaki,3,143,0,0
2020-03-18,Kagoshima,0,,0,0
2020-03-18,Okinawa,3,230,2,0
2020-03-19,Hokkaido,157,1652,69,7
2020-03-19,Aomori,0,79,0,0
2020-03-19,Iwate,0,29,0,0
2020-03-19,Miyagi,1,144,1,0
2020-03-19,Akita,2,114,1,0
2020-03-19,Yamagata,0,133,0,0
2020-03-19,Fukushima,2,132,0,0
2020-03-19,Ibaraki,3,464,0,0
2020-03-19,Tochigi,3,263,2,0
2020-03-19,Gunma,10,173,0,0
2020-03-19,Saitama,38,684,4,0
2020-03-19,Chiba,36,,9,0
2020-03-19,Tokyo,124,1848,24,2
2020-03-19,Kanagawa,64,,6,4
2020-03-19,Niigata,21,647,1,0
2020-03-19,Toyama,0,54,0,0
2020-03-19,Ishikawa,7,171,2,0
2020-03-19,Fukui,1,92,0,0
2020-03-19,Yamanashi,2,335,0,0
2020-03-19,Nagano,4,306,0,0
2020-03-19,Gifu,3,272,1,0
2020-03-19,Shizuoka,3,,1,0
2020-03-19,Aichi,134,847,3,14
2020-03-19,Mie,9,318,1,0
2020-03-19,Shiga,4,144,0,0
2020-03-19,Kyoto,20,800,6,0
2020-03-19,Osaka,119,2011,22,1
2020-03-19,Hyogo,91,1108,1,4
2020-03-19,Nara,8,176,2,0
2020-03-19,Wakayama,16,1102,8,1
2020-03-19,Tottori,0,115,0,0
2020-03-19,Shimane,0,91,0,0
2020-03-19,Okayama,0,181,0,0
2020-03-19,Hiroshima,1,552,1,0
2020-03-19,Yamaguchi,3,164,0,0
2020-03-19,Tokushima,1,83,0,0
2020-03-19,Kagawa,1,128,0,0
2020-03-19,Ehime,3,181,1,0
2020-03-19,Kochi,12,270,11,0
2020-03-19,Fukuoka,5,626,2,0
2020-03-19,Saga,1,100,0,0
2020-03-19,Nagasaki,1,213,0,0
2020-03-19,Kumamoto,7,467,0,0
2020-03-19,Oita,3,167,1,0
2020-03-19,Miyazaki,3,170,0,0
2020-03-19,Kagoshima,0,171,0,0
2020-03-19,Okinawa,3,238,2,0
2020-03-20,Hokkaido,158,1652,69,6
2020-03-20,Aomori,0,85,0,0
2020-03-20,Iwate,0,29,0,0
2020-03-20,Miyagi,1,148,1,0
2020-03-20,Akita,2,114,1,0
2020-03-20,Yamagata,0,133,0,0
2020-03-20,Fukushima,2,132,0,0
2020-03-20,Ibaraki,3,464,0,0
2020-03-20,Tochigi,3,263,1,0
2020-03-20,Gunma,11,173,0,0
2020-03-20,Saitama,41,684,6,0
2020-03-20,Chiba,41,,12,0
2020-03-20,Tokyo,135,1848,24,3
2020-03-20,Kanagawa,65,,6,4
2020-03-20,Niigata,21,647,1,0
2020-03-20,Toyama,0,54,0,0
2020-03-20,Ishikawa,8,175,2,0
2020-03-20,Fukui,1,97,0,0
2020-03-20,Yamanashi,2,337,0,0
2020-03-20,Nagano,4,306,1,0
2020-03-20,Gifu,3,279,1,0
2020-03-20,Shizuoka,3,,1,0
2020-03-20,Aichi,139,847,3,16
2020-03-20,Mie,9,318,1,0
2020-03-20,Shiga,4,144,0,0
2020-03-20,Kyoto,21,806,6,0
2020-03-20,Osaka,123,2025,22,1
2020-03-20,Hyogo,100,1120,1,4
2020-03-20,Nara,8,177,2,0
2020-03-20,Wakayama,17,1110,8,1
2020-03-20,Tottori,0,115,0,0
2020-03-20,Shimane,0,91,0,0
2020-03-20,Okayama,0,181,0,0
2020-03-20,Hiroshima,2,569,1,0
2020-03-20,Yamaguchi,3,164,0,0
2020-03-20,Tokushima,1,83,0,0
2020-03-20,Kagawa,1,133,0,0
2020-03-20,Ehime,3,181,1,0
2020-03-20,Kochi,12,270,11,0
2020-03-20,Fukuoka,5,626,2,0
2020-03-20,Saga,1,102,0,0
2020-03-20,Nagasaki,1,213,0,0
2020-03-20,Kumamoto,7,476,0,0
2020-03-20,Oita,8,175,1,0
2020-03-20,Miyazaki,3,179,0,0
2020-03-20,Kagoshima,0,171,0,0
2020-03-20,Okinawa,3,238,2,0
2020-03-21,Hokkaido,159,1652,81,6
2020-03-21,Aomori,0,88,0,0
2020-03-21,Iwate,0,29,0,0
2020-03-21,Miyagi,1,150,1,0
2020-03-21,Akita,2,114,1,0
2020-03-21,Yamagata,0,133,0,0
2020-03-21,Fukushima,2,132,0,0
2020-03-21,Ibaraki,3,464,0,0
